molecule_chembl_id,bioactivity_class,standard_value,canonical_smiles,Molecular_Weight,LogP,HBD,HBA,pIC50
CHEMBL2331712,active,26.0,NC1=N[C@@]2(c3cc(NC(=O)c4ccc(Cl)cn4)ccc3F)C[C@H]2CCS1,390.87100000000015,3.7932000000000032,2,5,7.585026652029182
CHEMBL3261053,active,31.0,N#Cc1ccc(C(=O)Nc2cccc([C@]34C[C@H]3CCSC(N)=N4)c2)nc1,363.446,2.8723800000000006,2,6,7.508638306165727
CHEMBL2331713,active,60.0,N#Cc1ccc(C(=O)Nc2ccc(F)c([C@]34C[C@H]3CCSC(N)=N4)c2)nc1,381.43600000000004,3.0114800000000006,2,6,7.221848749616356
CHEMBL2396989,active,20.3,NC1=N[C@@]2(c3cc(NC(=O)c4ccc(F)cn4)ccc3F)COC[C@H]2CS1,390.41500000000013,2.5153000000000008,2,6,7.692503962086787
CHEMBL3261063,intermediate,240.0,CC1(c2cccc(NC(=O)c3ccc(Cl)cn3)c2)COCC(N)=N1,344.80200000000013,2.5899,2,5,6.619788758288394
CHEMBL3261064,active,26.0,NC1=N[C@](CF)(c2cccc(NC(=O)c3ccc(Cl)cn3)c2)COC1,362.7920000000001,2.539500000000001,2,5,7.585026652029182
CHEMBL3261065,active,30.0,NC1=NC(c2cccc(NC(=O)c3ccc(Cl)cn3)c2)(C(F)F)COC1,380.78200000000004,2.8351000000000015,2,5,7.522878745280337
CHEMBL3261066,intermediate,420.0,NC1=NC(c2cccc(NC(=O)c3ccc(Cl)cn3)c2)(C(F)(F)F)COC1,398.77200000000005,3.1323000000000016,2,5,6.376750709602099
CHEMBL3261067,active,10.0,Cc1cc(C#N)cnc1C(=O)Nc1ccc(F)c([C@]2(C)CO[C@@](C)(C(F)(F)F)C(N)=N2)c1,449.4080000000002,3.5767000000000015,2,6,8.0
CHEMBL3261068,active,2.0,Cc1cc(C#N)cnc1C(=O)Nc1cc([C@]2(C)CO[C@@](C)(C(F)(F)F)C(N)=N2)c(F)cn1,450.3960000000001,2.9717000000000002,2,7,8.698970004336019
CHEMBL3261069,active,77.0,Cc1cc(C#N)cnc1C(=O)Nc1ccc(F)c([C@]2(C)CO[C@@](C)(C(F)(F)F)C(N)=N2)n1,450.3960000000002,2.9717000000000002,2,7,7.113509274827518
CHEMBL3261074,active,28.0,N#Cc1ccc(C(=O)Nc2ccc(F)c([C@]3(C(F)F)COCC(N)=N3)c2)nc1,389.33700000000016,2.1924799999999998,2,6,7.552841968657781
CHEMBL3261080,inactive,8200000.0,CC1=CSC(N)=NN1,129.18800000000002,0.4138000000000001,2,4,2.0861861476162833
CHEMBL3261081,inactive,790000.0,NC1=Nc2ccccc2CS1,164.23299999999995,1.8796,1,3,3.1023729087095586
CHEMBL3261058,intermediate,120.0,CC1(c2cccc(NC(=O)c3ncc(F)cc3F)c2)COCC(N)=N1,346.3370000000001,2.2147,2,5,6.920818753952375
CHEMBL3261059,intermediate,580.0,CC1(c2cccc(Nc3ccon3)c2)COCC(N)=N1,272.308,2.0207999999999995,2,6,6.236572006437063
CHEMBL3261060,intermediate,710.0,CC1(c2cccc(-c3cncnc3)c2)COCC(N)=N1,268.31999999999994,1.7461999999999993,1,5,6.1487416512809245
CHEMBL2403779,active,73.0,NC1=N[C@@]2(c3cc(NC(=O)c4ccc(Cl)cn4)ccc3F)C[C@H]2COC1,374.80300000000017,2.729000000000001,2,5,7.136677139879544
CHEMBL3261061,inactive,142000.0,C[C@@]1(c2cc(NC(=O)c3ccc(Cl)cn3)ccc2F)C[C@@H](c2ccccc2)OCC(N)=N1,452.91700000000026,4.860400000000005,2,5,3.8477116556169433
CHEMBL2403778,active,11.0,C[C@@]1(c2cc(NC(=O)c3ccc(Cl)cn3)ccc2F)COCCC(N)=N1,376.81900000000024,3.1191000000000004,2,5,7.958607314841775
CHEMBL3261062,active,1.0,C[C@]1(c2cc(NC(=O)c3ccc(Cl)cn3)ccc2F)N=C(N)COCC1(F)F,412.7990000000002,3.364300000000001,2,5,9.0
CHEMBL3261078,active,1.0,CC1(C)C(N)=N[C@](C)(c2cc(NC(=O)c3ccc(Cl)cn3)ccc2F)CS1(=O)=O,438.91200000000015,2.905800000000001,2,6,9.0
CHEMBL3261079,active,8.4,C[C@@]1(c2cc(NC(=O)c3ccc(Cl)cn3)ccc2F)CS(=O)(=O)C2(CCCCC2)C(=N)N1,478.9770000000004,4.039770000000002,3,5,8.075720713938118
CHEMBL3261075,active,19.5,C[C@@]1(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)Cn2cccc2C(N)=N1,388.4060000000002,2.78048,2,6,7.709965388637482
CHEMBL3261076,active,48.98,C[C@]1(c2cccc(NC(=O)c3ccc(Cl)cn3)c2)N=C(N)Cn2nccc21,380.8390000000001,2.8181000000000003,2,6,7.309981219211305
CHEMBL3261077,active,36.0,C[C@@]1(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)Cc2cccn2C(N)=N1,388.4060000000002,2.78048,2,6,7.443697499232712
CHEMBL3261051,active,27.0,CC#CCOc1cnc(C(=O)Nc2ccc(F)c(C34COCC3COC(N)=N4)c2)cn1,425.42000000000024,1.4566999999999999,2,8,7.568636235841013
CHEMBL3260842,active,20.0,COc1cccc(-c2cccc([C@@]3(c4ccncc4)N=C(N)N4CC(F)(F)CN=C43)c2)c1F,451.45200000000017,3.8176000000000014,1,6,7.698970004336019
CHEMBL3261044,active,32.0,NC1=N[C@](c2ccc(OC(F)F)cc2)(c2cccc(OCCF)c2)C2=NCC(F)(F)CN12,454.3990000000002,3.5576000000000025,1,6,7.494850021680094
CHEMBL3261070,active,20.0,CC1(c2cc(NC(=O)c3ccc(Cl)cn3)ccc2F)N=C(N)CO[C@@H]1F,380.78200000000015,3.0246000000000004,2,5,7.698970004336019
CHEMBL1957468,active,90.0,COc1cccc(-c2cccc(C3(c4ccncc4)N=C(N)N4CCCN=C43)c2)c1F,415.4720000000002,3.572400000000001,1,6,7.045757490560675
CHEMBL3261071,active,40.0,C[C@]1(c2cc(NC(=O)c3ccc(Cl)cn3)ccc2F)N=C(N)CO[C@H]1C(F)F,412.79900000000015,3.362700000000001,2,5,7.3979400086720375
CHEMBL3261072,active,34.0,C[C@]1(c2cc(NC(=O)c3ccc(Cl)cn3)ccc2F)N=C(N)CO[C@H]1C(F)(F)F,430.78900000000016,3.6599000000000013,2,5,7.468521082957745
CHEMBL3261073,active,25.0,CC1(c2cc(NC(=O)c3ccc(Cl)cn3)ccc2F)N=C(N)CO[C@@]1(F)C(F)(F)F,448.77900000000017,3.9571000000000023,2,5,7.6020599913279625
CHEMBL3265330,intermediate,110.0,NC1=N[C@@]2(CO1)c1cc(-c3cncc(Cl)c3)ccc1O[C@@H]1COCC[C@H]12,371.8240000000002,2.739700000000001,1,6,6.958607314841775
CHEMBL3265331,intermediate,150.0,NC1=N[C@@]2(CO1)c1cc(-c3cccnc3F)ccc1O[C@@H]1COCC[C@H]12,355.36900000000014,2.2253999999999996,1,6,6.823908740944319
CHEMBL3265332,intermediate,360.0,NC1=N[C@@]2(CO1)c1cc(-c3cncc(F)c3)ccc1O[C@@H]1COCC[C@H]12,355.36900000000014,2.2254000000000005,1,6,6.443697499232712
CHEMBL3265333,intermediate,300.0,N#Cc1cccc(-c2ccc3c(c2)[C@@]2(COC(N)=N2)[C@@H]2CCOC[C@H]2O3)c1,361.4010000000001,2.5629800000000005,1,6,6.522878745280337
CHEMBL3265334,active,60.0,NC1=N[C@@]2(CO1)c1cc(-c3cc(F)cc(Cl)c3)ccc1O[C@@H]1COCC[C@H]12,388.8260000000002,3.4838000000000022,1,5,7.221848749616356
CHEMBL3265335,inactive,1000.0,NC1=N[C@@]2(CO1)c1cc(-c3cncc(Cl)c3)ccc1O[C@H]1COCC[C@@H]12,371.8240000000002,2.739700000000001,1,6,6.0
CHEMBL3265336,inactive,16000.0,C[C@]12COCC[C@@H]1[C@]1(COC(N)=N1)c1cc(-c3cncc(Cl)c3)ccc1O2,385.85100000000006,3.1298000000000004,1,6,4.795880017344075
CHEMBL3265330,active,20.0,NC1=N[C@@]2(CO1)c1cc(-c3cncc(Cl)c3)ccc1O[C@@H]1COCC[C@H]12,371.8240000000002,2.739700000000001,1,6,7.698970004336019
CHEMBL3265331,active,80.0,NC1=N[C@@]2(CO1)c1cc(-c3cccnc3F)ccc1O[C@@H]1COCC[C@H]12,355.36900000000014,2.2253999999999996,1,6,7.096910013008056
CHEMBL3265332,active,90.0,NC1=N[C@@]2(CO1)c1cc(-c3cncc(F)c3)ccc1O[C@@H]1COCC[C@H]12,355.36900000000014,2.2254000000000005,1,6,7.045757490560675
CHEMBL3265333,intermediate,140.0,N#Cc1cccc(-c2ccc3c(c2)[C@@]2(COC(N)=N2)[C@@H]2CCOC[C@H]2O3)c1,361.4010000000001,2.5629800000000005,1,6,6.853871964321762
CHEMBL3265334,intermediate,110.0,NC1=N[C@@]2(CO1)c1cc(-c3cc(F)cc(Cl)c3)ccc1O[C@@H]1COCC[C@H]12,388.8260000000002,3.4838000000000022,1,5,6.958607314841775
CHEMBL3265335,intermediate,130.0,NC1=N[C@@]2(CO1)c1cc(-c3cncc(Cl)c3)ccc1O[C@H]1COCC[C@@H]12,371.8240000000002,2.739700000000001,1,6,6.886056647693163
CHEMBL3265337,inactive,7700.0,NC1=N[C@]2(CO1)c1cc(-c3cncc(Cl)c3)ccc1O[C@H]1COCC[C@@H]12,371.8240000000002,2.739700000000001,1,6,5.113509274827518
CHEMBL3265338,inactive,17000.0,NC1=N[C@]2(CO1)c1cc(-c3cncc(Cl)c3)ccc1O[C@@H]1COCC[C@H]12,371.8240000000002,2.739700000000001,1,6,4.769551078621726
